test_type,test_name,extra_param,n,d,h_label,mean_result
C2ST,LinearMMD_test,LL,200,10,Alternative,0.056
C2ST,LinearMMD_test,QL,200,10,Alternative,0.012
C2ST,LinearMMD_test,KLR,200,10,Alternative,0.084
C2ST,CLF_test,LL,200,10,Alternative,0.006
C2ST,CLF_test,QL,200,10,Alternative,0.124
C2ST,CLF_test,KLR,200,10,Alternative,0.002
C2ST,CP_test,LL,200,10,Alternative,0.074
C2ST,CP_test,QL,200,10,Alternative,0
C2ST,CP_test,KLR,200,10,Alternative,0.194
C2ST,debiased_test,LL,200,10,Alternative,0.096
C2ST,debiased_test,QL,200,10,Alternative,0.978
C2ST,debiased_test,KLR,200,10,Alternative,0.48
C2ST,CVLinearMMD_test,LL,200,10,Alternative,0.114
C2ST,CVLinearMMD_test,QL,200,10,Alternative,0.204
C2ST,CVLinearMMD_test,KLR,200,10,Alternative,0.154
C2ST,CVCLF_test,LL,200,10,Alternative,0.014
C2ST,CVCLF_test,QL,200,10,Alternative,0.346
C2ST,CVCLF_test,KLR,200,10,Alternative,0
CIT,RCIT_test,TRUE,200,10,Alternative,0.284
CIT,RCIT_test,FALSE,200,10,Alternative,0.514
CIT,RCoT_test,TRUE,200,10,Alternative,0.29
CIT,RCoT_test,FALSE,200,10,Alternative,0.378
CIT,PCM_test,TRUE,200,10,Alternative,0.09
CIT,PCM_test,FALSE,200,10,Alternative,0.086
CIT,GCM_test,TRUE,200,10,Alternative,0.134
CIT,GCM_test,FALSE,200,10,Alternative,0.188
CIT,WGSC_test,TRUE,200,10,Alternative,0.02
CIT,WGSC_test,FALSE,200,10,Alternative,0.08
C2ST,LinearMMD_test,LL,200,10,Null,0.052
C2ST,LinearMMD_test,QL,200,10,Null,0.012
C2ST,LinearMMD_test,KLR,200,10,Null,0.068
C2ST,CLF_test,LL,200,10,Null,0.002
C2ST,CLF_test,QL,200,10,Null,0.134
C2ST,CLF_test,KLR,200,10,Null,0
C2ST,CP_test,LL,200,10,Null,0.01
C2ST,CP_test,QL,200,10,Null,0
C2ST,CP_test,KLR,200,10,Null,0.052
C2ST,debiased_test,LL,200,10,Null,0.022
C2ST,debiased_test,QL,200,10,Null,0.97
C2ST,debiased_test,KLR,200,10,Null,0.472
C2ST,CVLinearMMD_test,LL,200,10,Null,0.118
C2ST,CVLinearMMD_test,QL,200,10,Null,0.204
C2ST,CVLinearMMD_test,KLR,200,10,Null,0.148
C2ST,CVCLF_test,LL,200,10,Null,0.008
C2ST,CVCLF_test,QL,200,10,Null,0.312
C2ST,CVCLF_test,KLR,200,10,Null,0
CIT,RCIT_test,TRUE,200,10,Null,0.072
CIT,RCIT_test,FALSE,200,10,Null,0.268
CIT,RCoT_test,TRUE,200,10,Null,0.078
CIT,RCoT_test,FALSE,200,10,Null,0.066
CIT,PCM_test,TRUE,200,10,Null,0.038
CIT,PCM_test,FALSE,200,10,Null,0.064
CIT,GCM_test,TRUE,200,10,Null,0.046
CIT,GCM_test,FALSE,200,10,Null,0.034
CIT,WGSC_test,TRUE,200,10,Null,0.018
CIT,WGSC_test,FALSE,200,10,Null,0.08
C2ST,LinearMMD_test,LL,500,10,Alternative,0.096
C2ST,LinearMMD_test,QL,500,10,Alternative,0.038
C2ST,LinearMMD_test,KLR,500,10,Alternative,0.11
C2ST,CLF_test,LL,500,10,Alternative,0.016
C2ST,CLF_test,QL,500,10,Alternative,0.04
C2ST,CLF_test,KLR,500,10,Alternative,0.008
